"Video Source","Video Source"
"Upload Video","Upload Video"
Url,Url
Title,Title
Description,Description
"Preview Image","Preview Image"
"Get Video Information","Get Video Information"
"Hide from Product Page","Hide from Product Page"
"File can not be moved from temporary folder to the destination folder.","File can not be moved from temporary folder to the destination folder."
"Play Large","Play Large"
Mute,Mute
Volume,Volume
Fullscreen,Fullscreen
Upload,Upload
"Video Url","Video Url"
"Add Video","Add Video"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image in all store views","Delete image in all store views"
"Delete video","Delete video"
"Delete image","Delete image"
Hidden,Hidden
"Alt Text","Alt Text"
Role,Role
"Image Size","Image Size"
{size},{size}
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
Title:,Title:
Uploaded:,Uploaded:
Uploader:,Uploader:
Duration:,Duration:
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","Invalid video url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","Video cant be shown due to the following reason: "
"Video not found","Video not found"
"New Video","New Video"
Save,Save
Cancel,Cancel
Delete,Delete
"Edit Video","Edit Video"
"Images and Videos","Images and Videos"
Webkul,Webkul
"Video Player","Video Player"
"Video Player Configuration","Video Player Configuration"
"Module Enable","Module Enable"
"Video Auto Play","Video Auto Play"
"Loop Video","Loop Video"
"Video Player Appearence","Video Player Appearence"
"Primary Color","Primary Color"
"Player Options","Player Options"
